,Racedate,HorseNo,HorseName,Jockey,ActWeight,HorseWeight,Draw,Total,Class,Distance,Venue,Course,Going
0,2024/10/13,1,SPEED DRAGON,A Atzeni,135,1187,5,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
1,2024/10/13,2,YOUNG ACHIEVER,Z Purton,135,1142,7,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
2,2024/10/13,3,BEAUTY CRESCENT,H Bowman,130,1047,13,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
3,2024/10/13,4,GRACIOUS EXPRESS,K C Leung,129,1127,11,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
4,2024/10/13,5,LUCY IN THE SKY,K Teetan,128,1186,3,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
5,2024/10/13,6,SILO,B Avdulla,124,1143,12,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
6,2024/10/13,7,STORM RIDER,L Hewitson,124,1091,10,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
7,2024/10/13,8,AMAZING VICTORY,C Y Ho,120,1046,4,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
8,2024/10/13,9,MASSIVE ACTION,Y L Chung,120,1184,1,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
9,2024/10/13,10,PRINCE OF PORTY,H Bentley,118,1172,6,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
10,2024/10/13,11,THE WAY WE WIN,M L Yeung,118,1067,8,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
11,2024/10/13,12,ACROSS DA UNIVERSE,M F Poon,117,1152,2,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
12,2024/10/13,13,FIRST LOVE,A Badel,117,1175,9,10,Class 3,1400,Sha Tin:,"TURF - ""A+3"" Course",Good
